order_id,customer_id,city,category,product_name,price,quantity,total_amount,order_date
1,72,Chennai,Electronics,Laptop,36548,2,73096,8/17/2023
2,16,Mumbai,Electronics,Laptop,77897,4,311588,2/2/2023
3,288,Pune,Fashion,Shoes,66737,5,333685,1/28/2023
4,143,Mumbai,Beauty,Shampoo,29393,4,117572,8/26/2024
5,111,Delhi,Fashion,Jacket,45097,3,135291,6/9/2023
6,177,Hyderabad,Electronics,Laptop,50297,1,50297,1/3/2024
7,194,Mumbai,Home,Mixer,60717,5,303585,5/8/2023
8,36,Mumbai,Beauty,Face Wash,47900,5,239500,7/16/2023
9,195,Delhi,Fashion,Jeans,10958,2,21916,4/14/2023
10,108,Chennai,Sports,Tennis Racket,21819,3,65457,12/30/2023
11,84,Bangalore,Home,Mixer,22931,5,114655,9/8/2023
12,167,Mumbai,Sports,Tennis Racket,73500,2,147000,12/2/2024
13,34,Pune,Fashion,Shirt,41847,4,167388,10/2/2023
14,235,Pune,Beauty,Face Wash,28369,4,113476,2/10/2024
15,135,Chennai,Home,Sofa,32825,5,164125,7/5/2024
16,113,Pune,Beauty,Shampoo,76984,4,307936,1/6/2024
17,79,Chennai,Beauty,Shampoo,12415,1,12415,4/23/2023
18,196,Hyderabad,Fashion,Jacket,78672,1,78672,1/30/2024
19,59,Chennai,Sports,Tennis Racket,73012,1,73012,11/27/2024
20,223,Pune,Beauty,Face Wash,45087,1,45087,10/28/2023
21,260,Mumbai,Sports,Football,35022,5,175110,7/2/2023
22,277,Hyderabad,Home,Sofa,20532,3,61596,6/15/2023
23,186,Delhi,Electronics,Headphones,64542,1,64542,4/25/2023
24,44,Chennai,Fashion,Shirt,32071,5,160355,3/22/2023
25,244,Hyderabad,Sports,Football,70322,2,140644,5/12/2023
26,109,Hyderabad,Fashion,Jeans,69663,5,348315,3/9/2024
27,265,Bangalore,Fashion,Jeans,52796,3,158388,3/24/2024
28,11,Hyderabad,Electronics,Mobile,29951,1,29951,12/13/2023
29,37,Chennai,Beauty,Lipstick,77628,2,155256,1/8/2023
30,37,Hyderabad,Electronics,Mobile,9334,1,9334,12/5/2023
31,68,Chennai,Fashion,Jeans,64124,2,128248,7/6/2024
32,98,Mumbai,Beauty,Shampoo,32350,4,129400,2/21/2024
33,240,Chennai,Electronics,Tablet,46938,4,187752,2/25/2024
34,56,Pune,Electronics,Laptop,8444,4,33776,12/14/2023
35,217,Pune,Fashion,Shoes,70792,4,283168,5/24/2023
36,282,Mumbai,Home,Table,33242,1,33242,3/29/2024
37,209,Bangalore,Electronics,Laptop,12724,2,25448,6/20/2023
38,195,Mumbai,Sports,Cricket Bat,53065,1,53065,6/18/2023
39,285,Chennai,Sports,Tennis Racket,60138,3,180414,3/9/2024
40,30,Hyderabad,Sports,Cricket Bat,25390,3,76170,8/11/2023
41,300,Bangalore,Beauty,Perfume,41604,1,41604,2/21/2023
42,96,Mumbai,Beauty,Lipstick,7955,5,39775,3/24/2023
43,292,Pune,Beauty,Perfume,31328,4,125312,5/3/2023
44,299,Hyderabad,Beauty,Perfume,11245,4,44980,11/4/2024
45,161,Pune,Beauty,Face Wash,34679,2,69358,11/16/2024
46,162,Mumbai,Home,Table,17654,3,52962,4/13/2024
47,276,Pune,Electronics,Tablet,74292,1,74292,3/17/2023
48,126,Delhi,Beauty,Face Wash,17861,3,53583,3/12/2023
49,155,Hyderabad,Home,Sofa,57933,5,289665,12/21/2024
50,54,Pune,Beauty,Perfume,73192,3,219576,11/10/2024
51,140,Delhi,Home,Mixer,14529,5,72645,6/9/2023
52,136,Hyderabad,Beauty,Lipstick,45442,2,90884,12/4/2024
53,217,Delhi,Sports,Tennis Racket,7158,1,7158,10/11/2024
54,135,Pune,Electronics,Laptop,44219,2,88438,10/14/2024
55,39,Chennai,Sports,Gym Gloves,74019,1,74019,4/25/2023
56,76,Bangalore,Fashion,Shirt,48893,5,244465,7/19/2024
57,184,Pune,Fashion,Shirt,40904,3,122712,2/10/2023
58,80,Pune,Fashion,Shirt,46857,5,234285,2/21/2024
59,171,Bangalore,Fashion,Shoes,54540,1,54540,7/3/2023
60,20,Bangalore,Fashion,Jeans,21366,1,21366,1/27/2024
61,117,Pune,Fashion,Shoes,60832,3,182496,11/9/2023
62,36,Delhi,Electronics,Mobile,52727,3,158181,10/13/2023
63,60,Delhi,Home,Table,70782,3,212346,1/29/2023
64,223,Delhi,Fashion,Jeans,5514,1,5514,9/2/2024
65,198,Hyderabad,Home,Table,79957,5,399785,4/29/2023
66,267,Hyderabad,Fashion,Jeans,6317,4,25268,1/2/2023
67,170,Hyderabad,Fashion,Jeans,57031,1,57031,11/11/2024
68,210,Delhi,Home,Mixer,39863,5,199315,11/13/2023
69,216,Chennai,Sports,Tennis Racket,73167,2,146334,7/16/2023
70,281,Mumbai,Sports,Cricket Bat,75093,3,225279,2/20/2024
71,165,Bangalore,Home,Chair,28049,4,112196,8/16/2024
72,87,Chennai,Sports,Gym Gloves,28510,5,142550,4/29/2024
73,48,Pune,Electronics,Headphones,68061,5,340305,12/10/2023
74,24,Pune,Home,Sofa,26600,2,53200,1/26/2023
75,295,Pune,Sports,Football,60192,4,240768,10/6/2024
76,3,Mumbai,Sports,Gym Gloves,52883,2,105766,6/1/2023
77,26,Hyderabad,Sports,Cricket Bat,23553,5,117765,4/20/2024
78,272,Hyderabad,Fashion,Shirt,60329,2,120658,4/20/2024
79,219,Hyderabad,Beauty,Face Wash,58508,5,292540,5/31/2024
80,127,Chennai,Sports,Cricket Bat,62716,4,250864,9/23/2023
81,40,Chennai,Home,Table,31858,3,95574,3/26/2024
82,277,Mumbai,Home,Sofa,36114,3,108342,11/24/2023
83,79,Chennai,Fashion,Shoes,30811,4,123244,12/11/2024
84,278,Bangalore,Fashion,Shirt,54877,4,219508,12/5/2023
85,300,Chennai,Sports,Football,27610,4,110440,2/3/2024
86,153,Bangalore,Electronics,Tablet,63018,1,63018,12/27/2023
87,224,Bangalore,Sports,Cricket Bat,64493,2,128986,10/7/2023
88,240,Pune,Electronics,Tablet,44557,4,178228,6/19/2023
89,14,Mumbai,Beauty,Perfume,52145,5,260725,7/31/2024
90,134,Bangalore,Sports,Cricket Bat,61015,2,122030,2/21/2023
91,195,Delhi,Home,Sofa,60098,3,180294,12/12/2023
92,277,Mumbai,Sports,Tennis Racket,11235,4,44940,1/20/2023
93,127,Pune,Home,Sofa,9493,1,9493,2/1/2023
94,59,Hyderabad,Electronics,Mobile,31766,2,63532,4/29/2024
95,59,Pune,Fashion,Jacket,34086,3,102258,6/21/2023
96,295,Chennai,Home,Mixer,76349,1,76349,11/16/2023
97,125,Mumbai,Sports,Gym Gloves,26495,1,26495,8/29/2024
98,273,Bangalore,Home,Mixer,74677,1,74677,12/22/2023
99,216,Bangalore,Home,Mixer,66817,3,200451,1/13/2023
100,79,Bangalore,Electronics,Tablet,47972,4,191888,12/25/2024
101,224,Chennai,Fashion,Jeans,71039,4,284156,4/21/2024
102,143,Bangalore,Beauty,Face Wash,42745,2,85490,3/30/2023
103,195,Delhi,Fashion,Jacket,75191,5,375955,11/15/2024
104,109,Delhi,Electronics,Tablet,43100,2,86200,5/14/2024
105,142,Hyderabad,Home,Chair,37155,5,185775,12/19/2024
106,251,Hyderabad,Electronics,Mobile,11721,2,23442,2/21/2024
107,48,Delhi,Fashion,Jacket,64832,4,259328,1/18/2023
108,298,Delhi,Fashion,Jacket,32390,3,97170,11/10/2024
109,181,Chennai,Sports,Tennis Racket,56271,5,281355,12/5/2023
110,62,Chennai,Sports,Tennis Racket,40689,3,122067,8/25/2023
111,95,Pune,Fashion,Jeans,16170,5,80850,12/7/2024
112,145,Mumbai,Fashion,Jacket,36741,5,183705,6/21/2024
113,155,Mumbai,Fashion,Jeans,30316,3,90948,7/3/2023
114,284,Delhi,Beauty,Lipstick,36454,1,36454,2/25/2023
115,146,Bangalore,Fashion,Jacket,13946,1,13946,8/10/2024
116,130,Bangalore,Sports,Gym Gloves,45157,2,90314,2/22/2023
117,296,Chennai,Electronics,Laptop,53021,4,212084,3/17/2023
118,44,Pune,Electronics,Mobile,20055,5,100275,11/8/2023
119,116,Hyderabad,Electronics,Tablet,79971,5,399855,9/25/2024
120,220,Delhi,Sports,Gym Gloves,58528,3,175584,8/25/2024
121,109,Delhi,Beauty,Perfume,13506,2,27012,10/2/2024
122,39,Pune,Electronics,Mobile,31939,2,63878,7/19/2024
123,150,Mumbai,Electronics,Tablet,59548,5,297740,4/26/2024
124,120,Delhi,Fashion,Jeans,37556,4,150224,3/14/2023
125,116,Chennai,Beauty,Lipstick,56223,1,56223,7/11/2024
126,85,Delhi,Fashion,Jeans,19143,1,19143,3/3/2023
127,156,Chennai,Beauty,Face Wash,58060,1,58060,4/24/2024
